"state","date","highest_new_case_num","highest_new_case_rate"
"Wyoming","2020-05-06",27,4.67340675774617e-05
"Alabama","2020-05-26",676,0.000138301522278309
"Alaska","2020-05-26",12,1.62725544384748e-05
"Arizona","2020-05-26",497,6.93006877361208e-05
"Arkansas","2020-05-26",455,0.000150970942241172
"California","2020-05-26",3022,7.63959997517509e-05
"Colorado","2020-05-26",477,8.37493881202985e-05
"Connecticut","2020-05-26",716,0.000200410617844102
"Delaware","2020-05-26",280,0.000289504131120557
"District of Columbia","2020-05-26",237,0.000337388160095664
"Florida","2020-05-26",1204,5.65276129642606e-05
"Georgia","2020-05-26",946,8.99284422464049e-05
"Hawaii","2020-05-26",4,2.81592773203069e-06
"Idaho","2020-05-26",89,5.07351465732684e-05
"Illinois","2020-05-26",4014,0.000315043936620757
"Indiana","2020-05-26",662,9.89258919543961e-05
"Iowa","2020-05-26",550,0.000174263223014152
"Kansas","2020-05-26",350,0.000120212742207209
"Kentucky","2020-05-26",380,8.50415875742603e-05
"Louisiana","2020-05-26",1188,0.000254936825882011
"Maine","2020-05-26",78,5.82783673688961e-05
"Maryland","2020-05-26",1784,0.000295231384287667
"Massachusetts","2020-05-26",1803,0.000261222990115108
"Michigan","2020-05-26",1348,0.000134855088303572
"Minnesota","2020-05-26",840,0.000149701159061224
"Mississippi","2020-05-26",403,0.000134939210387975
"Missouri","2020-05-26",249,4.06434262440969e-05
"Montana","2020-05-26",7,6.5894446510183e-06
"Nebraska","2020-05-26",610,0.000316182096007398
"Nevada","2020-05-26",355,0.000116992135492052
"New Hampshire","2020-05-26",147,0.000108370476638422
"New Jersey","2020-05-26",1736,0.000194869630421215
"New Mexico","2020-05-26",318,0.000151758972391321
"New York","2020-05-26",2762,0.000141335096764138
"North Carolina","2020-05-26",1598,0.000153896232720381
"North Dakota","2020-05-26",134,0.000176297927709956
"Ohio","2020-05-26",731,6.25350636925184e-05
"Oklahoma","2020-05-26",169,4.28599071943524e-05
"Oregon","2020-05-26",75,1.78967159049069e-05
"Pennsylvania","2020-05-26",1126,8.79202564835333e-05
"Puerto Rico","2020-05-26",117,NA
"Rhode Island","2020-05-26",405,0.000383045733769028
"South Carolina","2020-05-26",257,5.05494847001265e-05
"South Dakota","2020-05-26",179,0.000202893786802836
"Tennessee","2020-05-26",652,9.63070955582045e-05
"Texas","2020-05-26",1731,6.0309711797273e-05
"Utah","2020-05-26",203,6.4218050333665e-05
"Vermont","2020-05-26",6,9.58008874355539e-06
"Virginia","2020-05-26",1615,0.00018960550900861
"Washington","2020-05-26",563,7.47121227784257e-05
"West Virginia","2020-05-26",112,6.20212732967408e-05
"Wisconsin","2020-05-26",528,9.08220218633376e-05
"Wyoming","2020-05-26",25,4.3272284793946e-05
"Alabama","2020-05-27",676,0.000138301522278309
"Alaska","2020-05-27",12,1.62725544384748e-05
"Arizona","2020-05-27",497,6.93006877361208e-05
"Arkansas","2020-05-27",455,0.000150970942241172
"California","2020-05-27",3022,7.63959997517509e-05
"Colorado","2020-05-27",477,8.37493881202985e-05
"Connecticut","2020-05-27",716,0.000200410617844102
"Delaware","2020-05-27",280,0.000289504131120557
"District of Columbia","2020-05-27",237,0.000337388160095664
"Florida","2020-05-27",1204,5.65276129642606e-05
"Georgia","2020-05-27",946,8.99284422464049e-05
"Hawaii","2020-05-27",4,2.81592773203069e-06
"Idaho","2020-05-27",89,5.07351465732684e-05
"Illinois","2020-05-27",3243,0.000254531013069536
"Indiana","2020-05-27",662,9.89258919543961e-05
"Iowa","2020-05-27",666,0.000211016920958955
"Kansas","2020-05-27",350,0.000120212742207209
"Kentucky","2020-05-27",380,8.50415875742603e-05
"Louisiana","2020-05-27",1188,0.000254936825882011
"Maine","2020-05-27",78,5.82783673688961e-05
"Maryland","2020-05-27",1784,0.000295231384287667
"Massachusetts","2020-05-27",1803,0.000261222990115108
"Michigan","2020-05-27",1348,0.000134855088303572
"Minnesota","2020-05-27",840,0.000149701159061224
"Mississippi","2020-05-27",403,0.000134939210387975
"Missouri","2020-05-27",249,4.06434262440969e-05
"Montana","2020-05-27",7,6.5894446510183e-06
"Nebraska","2020-05-27",610,0.000316182096007398
"Nevada","2020-05-27",355,0.000116992135492052
"New Hampshire","2020-05-27",147,0.000108370476638422
"New Jersey","2020-05-27",1736,0.000194869630421215
"New Mexico","2020-05-27",318,0.000151758972391321
"New York","2020-05-27",2762,0.000141335096764138
"North Carolina","2020-05-27",1598,0.000153896232720381
"North Dakota","2020-05-27",134,0.000176297927709956
"Ohio","2020-05-27",731,6.25350636925184e-05
"Oklahoma","2020-05-27",169,4.28599071943524e-05
"Oregon","2020-05-27",75,1.78967159049069e-05
"Pennsylvania","2020-05-27",1126,8.79202564835333e-05
"Puerto Rico","2020-05-27",117,NA
"Rhode Island","2020-05-27",405,0.000383045733769028
"South Carolina","2020-05-27",257,5.05494847001265e-05
"South Dakota","2020-05-27",179,0.000202893786802836
"Tennessee","2020-05-27",652,9.63070955582045e-05
"Texas","2020-05-27",1731,6.0309711797273e-05
"Utah","2020-05-27",203,6.4218050333665e-05
"Vermont","2020-05-27",6,9.58008874355539e-06
"Virginia","2020-05-27",1615,0.00018960550900861
"Washington","2020-05-27",563,7.47121227784257e-05
"West Virginia","2020-05-27",125,6.92201710901125e-05
"Wisconsin","2020-05-27",599,0.000103034831621476
"Wyoming","2020-05-27",25,4.3272284793946e-05
"Alabama","2020-05-28",676,0.000138301522278309
"Alaska","2020-05-28",13,1.76286006416811e-05
"Arizona","2020-05-28",559,7.79458439526993e-05
"Arkansas","2020-05-28",455,0.000150970942241172
"California","2020-05-28",3022,7.63959997517509e-05
"Colorado","2020-05-28",477,8.37493881202985e-05
"Connecticut","2020-05-28",716,0.000200410617844102
"Delaware","2020-05-28",280,0.000289504131120557
"District of Columbia","2020-05-28",237,0.000337388160095664
"Florida","2020-05-28",1204,5.65276129642606e-05
"Georgia","2020-05-28",946,8.99284422464049e-05
"Hawaii","2020-05-28",4,2.81592773203069e-06
"Idaho","2020-05-28",89,5.07351465732684e-05
"Illinois","2020-05-28",3243,0.000254531013069536
"Indiana","2020-05-28",662,9.89258919543961e-05
"Iowa","2020-05-28",666,0.000211016920958955
"Kansas","2020-05-28",350,0.000120212742207209
"Kentucky","2020-05-28",380,8.50415875742603e-05
"Louisiana","2020-05-28",1188,0.000254936825882011
"Maine","2020-05-28",78,5.82783673688961e-05
"Maryland","2020-05-28",1784,0.000295231384287667
"Massachusetts","2020-05-28",1803,0.000261222990115108
"Michigan","2020-05-28",1348,0.000134855088303572
"Minnesota","2020-05-28",840,0.000149701159061224
"Mississippi","2020-05-28",403,0.000134939210387975
"Missouri","2020-05-28",249,4.06434262440969e-05
"Montana","2020-05-28",7,6.5894446510183e-06
"Nebraska","2020-05-28",610,0.000316182096007398
"Nevada","2020-05-28",355,0.000116992135492052
"New Hampshire","2020-05-28",147,0.000108370476638422
"New Jersey","2020-05-28",1736,0.000194869630421215
"New Mexico","2020-05-28",318,0.000151758972391321
"New York","2020-05-28",2762,0.000141335096764138
"North Carolina","2020-05-28",1598,0.000153896232720381
"North Dakota","2020-05-28",134,0.000176297927709956
"Ohio","2020-05-28",731,6.25350636925184e-05
"Oklahoma","2020-05-28",169,4.28599071943524e-05
"Oregon","2020-05-28",75,1.78967159049069e-05
"Pennsylvania","2020-05-28",1126,8.79202564835333e-05
"Puerto Rico","2020-05-28",117,NA
"Rhode Island","2020-05-28",405,0.000383045733769028
"South Carolina","2020-05-28",257,5.05494847001265e-05
"South Dakota","2020-05-28",179,0.000202893786802836
"Tennessee","2020-05-28",652,9.63070955582045e-05
"Texas","2020-05-28",1853,6.45603096246949e-05
"Utah","2020-05-28",215,6.80141912400885e-05
"Vermont","2020-05-28",6,9.58008874355539e-06
"Virginia","2020-05-28",1615,0.00018960550900861
"Washington","2020-05-28",563,7.47121227784257e-05
"West Virginia","2020-05-28",125,6.92201710901125e-05
"Wisconsin","2020-05-28",599,0.000103034831621476
"Wyoming","2020-05-28",25,4.3272284793946e-05
"Alabama","2020-06-16",1014,0.000207452283417463
"Alaska","2020-06-16",29,3.93253398929808e-05
"Arizona","2020-06-16",2341,0.000326424366177583
"Arkansas","2020-06-16",731,0.000242548920391861
"California","2020-06-16",3724,9.41425225266447e-05
"Colorado","2020-06-16",300,5.26725711448418e-05
"Connecticut","2020-06-16",358,0.000100205308922051
"Delaware","2020-06-16",97,0.000100292502566764
"District of Columbia","2020-06-16",130,0.000185065235495512
"Florida","2020-06-16",2783,0.000130661417674034
"Georgia","2020-06-16",1021,9.70580756168915e-05
"Hawaii","2020-06-16",17,1.19676928611304e-05
"Idaho","2020-06-16",121,6.89769970265784e-05
"Illinois","2020-06-16",1614,0.000126676859418511
"Indiana","2020-06-16",521,7.78555735774023e-05
"Iowa","2020-06-16",506,0.00016032216517302
"Kansas","2020-06-16",218,7.48753651462045e-05
"Kentucky","2020-06-16",310,6.93760319684755e-05
"Louisiana","2020-06-16",1288,0.000276396154659958
"Maine","2020-06-16",54,4.03465620246204e-05
"Maryland","2020-06-16",912,0.000150925461025982
"Massachusetts","2020-06-16",575,8.3307387307924e-05
"Michigan","2020-06-16",842,8.42344097563855e-05
"Minnesota","2020-06-16",707,0.000125998475543197
"Mississippi","2020-06-16",608,0.000203580744208161
"Missouri","2020-06-16",349,5.69660873863045e-05
"Montana","2020-06-16",15,1.41202385378964e-05
"Nebraska","2020-06-16",271,0.000140467783636073
"Nevada","2020-06-16",368,0.00012127635453824
"New Hampshire","2020-06-16",99,7.29841985524063e-05
"New Jersey","2020-06-16",806,9.04751855527068e-05
"New Mexico","2020-06-16",319,0.000152236201864249
"New York","2020-06-16",1329,6.80066414190944e-05
"North Carolina","2020-06-16",1833,0.000176528031649849
"North Dakota","2020-06-16",71,9.34115885627377e-05
"Ohio","2020-06-16",490,4.19181685490206e-05
"Oklahoma","2020-06-16",228,5.78228333746293e-05
"Oregon","2020-06-16",278,6.63371602875215e-05
"Pennsylvania","2020-06-16",690,5.38765337243677e-05
"Puerto Rico","2020-06-16",485,NA
"Rhode Island","2020-06-16",201,0.000190104178981666
"South Carolina","2020-06-16",932,0.000183315641013688
"South Dakota","2020-06-16",95,0.000107681060035025
"Tennessee","2020-06-16",1776,0.000262333438207624
"Texas","2020-06-16",3358,0.000116995963151498
"Utah","2020-06-16",546,0.000172724411242271
"Vermont","2020-06-16",36,5.74805324613324e-05
"Virginia","2020-06-16",1284,0.000150745184871241
"Washington","2020-06-16",449,5.9583913192741e-05
"West Virginia","2020-06-16",32,1.77203637990688e-05
"Wisconsin","2020-06-16",492,8.46296112817464e-05
"Wyoming","2020-06-16",29,5.01958503609774e-05
"Alabama","2020-06-17",1014,0.000207452283417463
"Alaska","2020-06-17",29,3.93253398929808e-05
"Arizona","2020-06-17",2341,0.000326424366177583
"Arkansas","2020-06-17",731,0.000242548920391861
"California","2020-06-17",3837,9.69991565345693e-05
"Colorado","2020-06-17",300,5.26725711448418e-05
"Connecticut","2020-06-17",358,0.000100205308922051
"Delaware","2020-06-17",97,0.000100292502566764
"District of Columbia","2020-06-17",130,0.000185065235495512
"Florida","2020-06-17",2783,0.000130661417674034
"Georgia","2020-06-17",1021,9.70580756168915e-05
"Hawaii","2020-06-17",17,1.19676928611304e-05
"Idaho","2020-06-17",170,9.69098305332093e-05
"Illinois","2020-06-17",1156,9.07301421857488e-05
"Indiana","2020-06-17",521,7.78555735774023e-05
"Iowa","2020-06-17",506,0.00016032216517302
"Kansas","2020-06-17",233,8.00273398122277e-05
"Kentucky","2020-06-17",348,7.78801907259016e-05
"Louisiana","2020-06-17",1288,0.000276396154659958
"Maine","2020-06-17",54,4.03465620246204e-05
"Maryland","2020-06-17",912,0.000150925461025982
"Massachusetts","2020-06-17",575,8.3307387307924e-05
"Michigan","2020-06-17",842,8.42344097563855e-05
"Minnesota","2020-06-17",707,0.000125998475543197
"Mississippi","2020-06-17",608,0.000203580744208161
"Missouri","2020-06-17",349,5.69660873863045e-05
"Montana","2020-06-17",16,1.50615877737561e-05
"Nebraska","2020-06-17",269,0.000139431121026213
"Nevada","2020-06-17",368,0.00012127635453824
"New Hampshire","2020-06-17",99,7.29841985524063e-05
"New Jersey","2020-06-17",806,9.04751855527068e-05
"New Mexico","2020-06-17",319,0.000152236201864249
"New York","2020-06-17",1108,5.66977868264534e-05
"North Carolina","2020-06-17",1833,0.000176528031649849
"North Dakota","2020-06-17",71,9.34115885627377e-05
"Ohio","2020-06-17",490,4.19181685490206e-05
"Oklahoma","2020-06-17",259,6.56847098422324e-05
"Oregon","2020-06-17",278,6.63371602875215e-05
"Pennsylvania","2020-06-17",690,5.38765337243677e-05
"Puerto Rico","2020-06-17",485,NA
"Rhode Island","2020-06-17",201,0.000190104178981666
"South Carolina","2020-06-17",932,0.000183315641013688
"South Dakota","2020-06-17",95,0.000107681060035025
"Tennessee","2020-06-17",794,0.000117281953793274
"Texas","2020-06-17",4130,0.000143893188747971
"Utah","2020-06-17",546,0.000172724411242271
"Vermont","2020-06-17",36,5.74805324613324e-05
"Virginia","2020-06-17",1284,0.000150745184871241
"Washington","2020-06-17",449,5.9583913192741e-05
"West Virginia","2020-06-17",35,1.93816479052315e-05
"Wisconsin","2020-06-17",492,8.46296112817464e-05
"Wyoming","2020-06-17",29,5.01958503609774e-05
